COARSE,CONSTRAINT_DIM,COARSE_RATIONALE,COARSE_DEFINITION,FINE,FINE_DEFINITION,DECISION_RULE,NOT_CLAUSE,EXAMPLE_SENTENCE,EXAMPLE_VERIFIED,count,freq_pct
Computational Resources,Computational Resources,These clusters address constraints related to computational resources and scalability.,"This category includes limitations due to computational costs, resource availability, and scalability issues. It does NOT cover the efficiency of algorithms or inference speed.",Budget and Resource Constraints,"This constraint involves limitations due to financial or resource availability, affecting the ability to use certain models or datasets. Unlike Computational Overhead, it focuses on financial and resource limitations rather than processing requirements. Evidence includes sentences about budget constraints and resource limitations affecting model usage.",Assign here if the limitation concerns financial or resource availability impacting model or dataset usage.,This label does NOT cover additional computational steps or processing requirements.,"The paper focuses on using 7B/8B LLMs due to limited computing resources, and larger models are beyond the computational capacity.",False,163,5.43
Computational Resources,Computational Resources,These clusters address constraints related to computational resources and scalability.,"This category includes limitations due to computational costs, resource availability, and scalability issues. It does NOT cover the efficiency of algorithms or inference speed.",Computational Overhead,"This constraint involves the additional computational burden introduced by certain methods or processes. Unlike Budget Constraints, it focuses on the extra processing required rather than financial limitations. Evidence includes sentences discussing increased computational overhead and additional computational steps.",Assign here if the limitation concerns extra processing or computational steps required by a method.,This label does NOT cover financial or budgetary constraints.,"Computational resources are limited, as LLMs use a lot of energy.",False,147,4.9
Data Coverage,Data Coverage,"These clusters address limitations in dataset size, diversity, and availability.","This category covers limitations related to the size, diversity, and availability of datasets used in evaluations. It does NOT cover language coverage or annotation quality.",Limited Dataset Scope,"This limitation refers to datasets that are restricted in their coverage, such as being limited to specific domains or contexts. Unlike 'Single Dataset Evaluation', this focuses on the narrowness of the dataset's content. Evidence includes sentences like 'The dataset only includes five full-length KBO games, and broader validation across additional leagues, game formats, and sports is necessary.'",Assign here if the limitation concerns the narrow scope or domain-specific nature of the dataset.,"This label does NOT cover reliance on a single dataset, which is covered under 'Single Dataset Evaluation'.","The detector requires a forward pass from the LLM being used, and an additional call to generate to create a rewrite.",False,154,5.13
Data Coverage,Data Coverage,"These clusters address limitations in dataset size, diversity, and availability.","This category covers limitations related to the size, diversity, and availability of datasets used in evaluations. It does NOT cover language coverage or annotation quality.",Single Dataset Evaluation,"This limitation arises when a study relies on a single dataset for training or evaluation, which may not capture the diversity needed for generalization. Unlike 'Limited Dataset Scope', this focuses on the singularity of the dataset rather than its breadth. Evidence includes sentences like 'The model was trained and evaluated on data from a single exam with a particular proficiency distribution.'",Assign here if the limitation concerns reliance on a single dataset for evaluation or training.,"This label does NOT cover issues related to the size or scope of the dataset, which are covered under 'Limited Dataset Scope'.",The experiments primarily focus on LLM inference with retrieved external documents.,False,25,0.83
Data Coverage,Data Coverage,"These clusters address limitations in dataset size, diversity, and availability.","This category covers limitations related to the size, diversity, and availability of datasets used in evaluations. It does NOT cover language coverage or annotation quality.",Curated Data Reliance,"This limitation involves reliance on specially curated datasets for training or evaluation, which may not evolve or adapt over time. Unlike 'Data Quality Dependence', this focuses on the curated nature of the data rather than its quality. Evidence includes sentences like 'The current approach still relies on curated fine-tuning data, rather than self-evolving methods that learn complex function calling skills continuously leveraging RL.'",Assign here if the limitation concerns reliance on curated datasets for training or evaluation.,"This label does NOT cover issues related to the quality of the data, which is covered under 'Data Quality Dependence'.",The paper does not consider supervised fine-tuning of smaller LLMs due to computational resources.,False,11,0.37
Data Coverage,Data Coverage,"These clusters address limitations in dataset size, diversity, and availability.","This category covers limitations related to the size, diversity, and availability of datasets used in evaluations. It does NOT cover language coverage or annotation quality.",Data Quality Dependence,"This limitation highlights the model's performance being contingent on the quality of the input data. Unlike 'Curated Data Reliance', this focuses on the quality rather than the source of the data. Evidence includes sentences like 'The model's performance is highly dependent on the input data quality.'",Assign here if the limitation concerns the dependency on high-quality input data for model performance.,"This label does NOT cover reliance on specific curated datasets, which is covered under 'Curated Data Reliance'.",The performance of SHARE is only demonstrated in the one-turn setting.,False,11,0.37
Evaluation Design,Evaluation Design,"These clusters focus on limitations in how evaluations are conducted, including scope and metrics.","This category covers limitations related to the design and scope of evaluations, such as the use of limited metrics, single tasks, or narrow domains. It does NOT cover the absence of human evaluation or sample size limitations.",Incomplete Evaluation Coverage,"This label covers limitations where evaluations are not comprehensive enough to include all necessary models, datasets, or personas. Unlike 'Metric Limitations', this focuses on the breadth of what is evaluated rather than how it is evaluated. Evidence includes sentences like 'We could not evaluate all models.' and 'We cannot capture all possible personas a model must cater to.'","Assign here if the limitation concerns the lack of comprehensive evaluation across models, datasets, or personas.","This label does NOT cover limitations related to the metrics themselves, such as their ability to capture nuances.",Limited human evaluation,False,433,14.43
Evaluation Design,Evaluation Design,"These clusters focus on limitations in how evaluations are conducted, including scope and metrics.","This category covers limitations related to the design and scope of evaluations, such as the use of limited metrics, single tasks, or narrow domains. It does NOT cover the absence of human evaluation or sample size limitations.",Metric Limitations,"This label addresses issues with the evaluation metrics themselves, such as their inability to capture nuanced perspectives or the need for further investigation. Unlike 'Incomplete Evaluation Coverage', this focuses on the depth and quality of the metrics used. Evidence includes sentences like 'Inability of the consistency metric to fully capture nuanced or multifaceted perspectives.'",Assign here if the limitation concerns the inadequacy or need for improvement of the evaluation metrics.,"This label does NOT cover the breadth of evaluation, such as missing models or datasets.",Possibility of improving the consistency between retrieval and generation through more robust evaluation methods,False,94,3.13
Generalisation Scope,Generalisation Scope,These clusters deal with issues related to generalization and uncertainty in model performance.,This category includes limitations in generalizability across different data types or tasks and uncertainties in model effectiveness. It does NOT cover dataset size or diversity limitations.,Limited Generalizability,"This label covers limitations where the model or analysis cannot be applied to broader contexts or different domains. Unlike 'Narrow Scope Focus', this label emphasizes the inability to generalize findings beyond the specific conditions studied. Evidence includes limitations due to dataset constraints or specific task focus, such as in sentences 1 and 4.",Assign here if the limitation concerns the inability to apply findings to broader contexts or different domains.,This label does NOT cover limitations that are about the narrowness of the task or context itself.,The method encounters the generalization limitation due to the substantial computational burden associated with LLMs.,False,183,6.1
Generalisation Scope,Generalisation Scope,These clusters deal with issues related to generalization and uncertainty in model performance.,This category includes limitations in generalizability across different data types or tasks and uncertainties in model effectiveness. It does NOT cover dataset size or diversity limitations.,Narrow Scope Focus,"This label addresses limitations where the analysis or model is restricted to a specific task, context, or set of conditions. Unlike 'Limited Generalizability', this label focuses on the narrowness of the task or context itself rather than the inability to generalize. Evidence includes limitations due to specific task focus or context, such as in sentences 5 and 8.","Assign here if the limitation concerns the narrowness of the task, context, or conditions studied.",This label does NOT cover limitations that are about the inability to generalize findings beyond the studied conditions.,The current approach largely limits the model's generalization ability.,False,34,1.13
Inference and Efficiency,new: Inference and Efficiency,"These clusters focus on limitations in inference speed, efficiency, and training requirements.","This category covers limitations related to inference speed, efficiency, and the need for hyperparameter optimization. It does NOT cover computational resources or evaluation design.",Efficiency Limitation,"This label encompasses limitations in the efficiency of models, particularly in terms of resource usage and scalability. Unlike 'Inference Speed Limitation', this focuses on broader efficiency issues beyond just speed. Evidence includes the need for further optimization to make frameworks more efficient and scalable.","Assign here if the limitation concerns the overall efficiency of the model, including resource usage and scalability.",This label does NOT cover specific issues related to the speed of inference.,Further optimization is necessary to make the framework more efficient and scalable.,True,74,2.47
Inference and Efficiency,new: Inference and Efficiency,"These clusters focus on limitations in inference speed, efficiency, and training requirements.","This category covers limitations related to inference speed, efficiency, and the need for hyperparameter optimization. It does NOT cover computational resources or evaluation design.",Performance Degradation,"This label covers scenarios where model performance degrades under certain conditions or lacks optimization. Unlike 'Performance Disparity', this focuses on the decline in performance rather than differences between models. Evidence includes the overall performance of novel approaches remaining below optimal.",Assign here if the limitation concerns a decline or suboptimal performance of the model.,This label does NOT cover differences in performance between different models or configurations.,"The overall performance of the novel approach, RESS, remains below optimal.",True,64,2.13
Inference and Efficiency,new: Inference and Efficiency,"These clusters focus on limitations in inference speed, efficiency, and training requirements.","This category covers limitations related to inference speed, efficiency, and the need for hyperparameter optimization. It does NOT cover computational resources or evaluation design.",Hyperparameter Search Requirement,"This label addresses the necessity for extensive hyperparameter search to achieve optimal model performance. Unlike 'Hyperparameter Sensitivity', this focuses on the process of searching for optimal settings. Evidence includes reliance on models that have not been individually optimized for tasks.",Assign here if the limitation concerns the need for extensive hyperparameter search to optimize model performance.,This label does NOT cover the impact of specific hyperparameter settings on performance.,The study relies on a pool of models that have not been individually optimized for the task they are tested on.,True,27,0.9
Inference and Efficiency,new: Inference and Efficiency,"These clusters focus on limitations in inference speed, efficiency, and training requirements.","This category covers limitations related to inference speed, efficiency, and the need for hyperparameter optimization. It does NOT cover computational resources or evaluation design.",Inference Speed Limitation,"This label addresses constraints related to the speed of model inference. Unlike 'Efficiency Limitation', this specifically focuses on the time taken for inference rather than overall resource efficiency. Evidence includes the relatively slow inference runtime of models.",Assign here if the limitation concerns the speed at which a model can perform inference tasks.,This label does NOT cover general efficiency issues that are not directly related to inference speed.,The model has a relatively slow inference runtime.,True,20,0.67
Inference and Efficiency,new: Inference and Efficiency,"These clusters focus on limitations in inference speed, efficiency, and training requirements.","This category covers limitations related to inference speed, efficiency, and the need for hyperparameter optimization. It does NOT cover computational resources or evaluation design.",Hyperparameter Sensitivity,"This label covers limitations related to the sensitivity of model performance to hyperparameter settings. Unlike 'Hyperparameter Search Requirement', this focuses on the impact of hyperparameters rather than the need for their optimization. Evidence includes the need for further optimization of data augmentation strategies and loss function design.",Assign here if the limitation concerns the impact of hyperparameter settings on model performance.,This label does NOT cover the need for extensive hyperparameter search or optimization processes.,The model's defensive robustness and accuracy on clean data may require further optimization of data augmentation strategies and loss function design.,True,15,0.5
Language Coverage,Language Coverage,These clusters focus on limitations in language diversity and coverage.,"This category covers limitations related to the evaluation or support of multiple languages, including dialects. It does NOT cover modality coverage or dataset diversity.",Language Coverage Limitation,"This label addresses the lack of support or evaluation across multiple languages, highlighting the narrow scope of language diversity. Unlike 'Single Language Focus', this label emphasizes the absence of multiple languages rather than the exclusive focus on one. Evidence includes sentences like 'The work is limited to the English language, which can limit the scope and applicability of research findings for other languages.'",Assign here if the limitation concerns the lack of support or evaluation across multiple languages.,This label does NOT cover limitations where research is conducted exclusively in one language.,"The work is limited to the English language, which can limit the scope and applicability of research findings for other languages.",True,144,4.8
Language Coverage,Language Coverage,These clusters focus on limitations in language diversity and coverage.,"This category covers limitations related to the evaluation or support of multiple languages, including dialects. It does NOT cover modality coverage or dataset diversity.",Single Language Focus,"This label covers limitations where research or experiments are conducted in only one language, restricting the generalizability of findings. Unlike 'Language Coverage Limitation', this label emphasizes the exclusive focus on a single language rather than the absence of multiple languages. Evidence includes sentences like 'Our experiments were done for English words only.'",Assign here if the limitation concerns research or experiments conducted in only one language.,This label does NOT cover limitations where multiple languages are considered but not comprehensively covered.,Our experiments were done for English words only.,True,46,1.53
Prompt and Interaction Design,new: Prompt and Interaction Design,These clusters address limitations in prompt design and model interaction capabilities.,"This category includes limitations related to prompt engineering, model size, and interaction capabilities. It does NOT cover computational resources or evaluation design.",Prompt Design Sensitivity,"This limitation involves the sensitivity of model outputs to the specific prompts used, which can lead to variability in results. Unlike 'Parameter Size Limitation', this focuses on the variability introduced by different prompts rather than model size. Evidence includes the observation that other prompts could lead to different results in experiments.",Assign here if the limitation concerns the variability of results due to different prompt designs.,This label does NOT cover limitations related to model size or parameter constraints.,"Other prompts could lead to different results in experiments, as only one prompt was tested.",True,82,2.73
Prompt and Interaction Design,new: Prompt and Interaction Design,These clusters address limitations in prompt design and model interaction capabilities.,"This category includes limitations related to prompt engineering, model size, and interaction capabilities. It does NOT cover computational resources or evaluation design.",Parameter Size Limitation,"This limitation concerns the constraints imposed by the size of the model's parameters, which can affect the model's performance and capabilities. Unlike 'Interaction Capability Limitation', this focuses on the model's internal architecture rather than its external interactions. Evidence includes the constraint of not conducting experiments on LLMs exceeding 13B parameters due to cost.",Assign here if the limitation concerns the size of the model's parameters affecting its performance.,This label does NOT cover limitations related to interaction capabilities or prompt design.,Experiments are not conducted on LLMs exceeding 13B parameters due to the great cost of training long-context LLMs.,True,64,2.13
Prompt and Interaction Design,new: Prompt and Interaction Design,These clusters address limitations in prompt design and model interaction capabilities.,"This category includes limitations related to prompt engineering, model size, and interaction capabilities. It does NOT cover computational resources or evaluation design.",Input Length Limitation,"This limitation pertains to the constraints on the length of input data that a model can process, which can affect the completeness of the output. Unlike 'Prompt Design Sensitivity', this focuses on the input data length rather than the prompt variability. Evidence includes the limitation of summarizing long documents that exceed the model’s input limit.",Assign here if the limitation concerns the maximum length of input data the model can handle.,This label does NOT cover limitations related to prompt variability or parameter size.,"For long documents that exceed the model’s input limit, the table of contents generated by the ToC generator may be incomplete, limiting the ability to summarize the document information effectively.",True,25,0.83
Security and Privacy,new: Security and Privacy,This cluster focuses on limitations related to data security and privacy concerns.,"This category includes issues related to data leakage, privacy concerns, and risks of misuse. It does NOT cover computational resources or evaluation design.",Adversarial Vulnerability,"This label pertains to the susceptibility of systems to adversarial attacks, which can compromise security and integrity. Unlike 'Data Leakage Risk', this focuses on intentional attacks rather than unintentional data exposure. Evidence includes susceptibility to adversarial attacks on knowledge graphs.",Assign here if the limitation concerns susceptibility to adversarial attacks.,This label does NOT cover unintentional data exposure or privacy concerns unrelated to attacks.,The proposed approaches are susceptible to adversarial attacks on knowledge graphs.,True,23,0.77
Security and Privacy,new: Security and Privacy,This cluster focuses on limitations related to data security and privacy concerns.,"This category includes issues related to data leakage, privacy concerns, and risks of misuse. It does NOT cover computational resources or evaluation design.",Privacy Concerns,"This label addresses issues related to the protection of personal or sensitive information. Unlike 'Data Leakage Risk', this focuses on the broader implications of privacy, including data handling and consent. Evidence includes risks of personal data exposure from datasets.",Assign here if the limitation concerns the protection of personal or sensitive information.,This label does NOT cover specific data flow issues leading to leakage.,"There is a risk of unintended personal data exposure from the images in the dataset, despite efforts to filter out identifying information.",True,23,0.77
Security and Privacy,new: Security and Privacy,This cluster focuses on limitations related to data security and privacy concerns.,"This category includes issues related to data leakage, privacy concerns, and risks of misuse. It does NOT cover computational resources or evaluation design.",Harmful Content Risk,"This label involves the potential generation or presence of harmful or offensive content within systems. Unlike 'Adversarial Vulnerability', this focuses on content issues rather than security breaches. Evidence includes potential for generating harmful or offensive content in outputs.",Assign here if the limitation concerns the generation or presence of harmful or offensive content.,This label does NOT cover security vulnerabilities unrelated to content.,Potential for generating harmful or offensive content in the output solutions for the modified questions due to the nature of adversarial attack,True,16,0.53
Security and Privacy,new: Security and Privacy,This cluster focuses on limitations related to data security and privacy concerns.,"This category includes issues related to data leakage, privacy concerns, and risks of misuse. It does NOT cover computational resources or evaluation design.",Data Leakage Risk,"This label covers issues where data may be unintentionally exposed or shared, leading to privacy breaches. Unlike 'Privacy Concerns', this focuses specifically on the unintended flow of data between systems or datasets. Evidence includes concerns about data leakage in evaluation metrics and benchmarks.",Assign here if the limitation concerns unintended data exposure or sharing between systems or datasets.,This label does NOT cover general privacy concerns unrelated to data flow.,The risk of data leakage.,True,8,0.27
Task and Application Scope,new: Task and Application Scope,These clusters focus on the limitations in the scope of tasks and applications.,"This category covers limitations in the range of tasks or applications considered, including assumptions and simplifications. It does NOT cover evaluation design or generalization issues.",Task Scope Limitation,"This label covers limitations in the range of tasks considered, such as focusing only on specific tasks like QA and summarization. Unlike 'Application Scope Limitation', this label is concerned with the types of tasks rather than the broader application context. Evidence includes sentences like 'The approach is limited to QA and summarization tasks.'",Assign here if the limitation concerns the specific types of tasks included or excluded.,This label does NOT cover limitations related to the broader application context or domain.,The approach is limited to QA and summarization tasks.,True,437,14.57
Task and Application Scope,new: Task and Application Scope,These clusters focus on the limitations in the scope of tasks and applications.,"This category covers limitations in the range of tasks or applications considered, including assumptions and simplifications. It does NOT cover evaluation design or generalization issues.",Application Scope Limitation,"This label addresses limitations in the broader application context, such as focusing on specific domains like mobile or lacking broader scenario coverage. Unlike 'Task Scope Limitation', this label is concerned with the application domain rather than specific tasks. Evidence includes sentences like 'The work is primarily situated in the mobile domain, with desktop and webapps restricted to zero-shot domain adaptation experiments.'",Assign here if the limitation concerns the broader application context or domain.,This label does NOT cover limitations related to specific types of tasks.,"The work is primarily situated in the mobile domain, with desktop and webapps restricted to zero-shot domain adaptation experiments.",True,127,4.23
